year,title,description,type
2025/10~,Now,Unity・Blenderによるゲーム開発やWebフロントエンドの学習を継続中!,other
2025/10,ポートフォリオサイト制作2,"ReactとTailwindCSS, TypeScriptを用いて、ポートフォリオサイトの制作を開始。",project
2025/04~07,学内ハッカソンでAruduinoを用いた無線通信システム「ALiS」を開発,Aruduinoを用いて、光の物理的特性を利用した無線通信システム「ALiS」を開発した。,project
2025/02,統計検定2級 合格,データ分析の基礎を固めるために統計検定2級を受験し、合格。,certification
2024/10,基本情報技術者試験 合格,基礎的なIT知識の取得を目的に、基本情報技術者試験を受験し、合格。,certification
2024/08,ポートフォリオサイト制作開始1,VueとTailwindCSSを用いて、ポートフォリオサイトの制作を開始。しかし半年後に断念。,project
2024/04,千葉工業大学 情報変革科学部 情報工学科 入学,IT技術の基礎から応用まで幅広く学ぶために情報工学科に進学。,education
2021/07~09,栄東キャンパスビューサイト「Look-inside-view」企画に参加,文化祭の部内プロジェクトとして「Look-inside-view」に親友の招待受けて参加し、初めて共同開発を行う。,project
2021/04,情報技術同好会に入部を機に、プログラミング学習を開始,HTML、CSS、JavaScriptの基礎から学習を開始。Web開発の世界に足を踏み入れる。,project
2018/04,栄東中学高等学校に入学,帯状疱疹やインフルの苦難を経て、栄東中学に合格し、進学する。,other
2005/04/08,誕生,埼玉県にて誕生。東京都で幼少期を過ごす。4歳頃からドラクエに熱中!,other
